"","Col.2d.22C.rep1","Col.2d.22C.rep2","Col.2d.22C.rep3","pif4.2d.22C.rep1","pif4.2d.22C.rep2","pif4.2d.22C.rep3","Col.2d.27C.rep1","Col.2d.27C.rep2","Col.2d.27C.rep3","pif4.2d.27C.rep1","pif4.2d.27C.rep2","pif4.2d.27C.rep3","Col.7d.22C.rep1","Col.7d.22C.rep2","Col.7d.22C.rep3","pif4.7d.22C.rep1","pif4.7d.22C.rep2","pif4.7d.22C.rep3","Col.7d.27C.rep1","Col.7d.27C.rep2","Col.7d.27C.rep3","pif4.7d.27C.rep1","pif4.7d.27C.rep2","pif4.7d.27C.rep3"
"AT1G01010",1225,1001,1256,1222,1115,1341,1268,1190,1252,1198,1129,1318,1919,1908,2077,2263,2035,2012,2218,2387,2331,2311,2145,2202
"AT1G01020",2076,1921,2035,2025,1958,2075,1999,2248,2031,1854,2041,2440,2264,1898,1764,2214,2396,1695,2715,2863,2835,2949,2713,2924
"AT1G01030",1115,1086,1102,1077,1157,1107,863,815,919,832,803,908,806,672,641,1076,1084,1054,638,800,761,1426,1092,1236
"AT1G01040",1733,1517,1795,1701,1627,1634,1532,1657,1887,1868,1853,2069,1873,1982,1968,2224,2144,1884,1618,2177,2032,2264,2080,2170
"AT1G01050",7031,7534,7171,7068,6974,7050,7684,7627,7739,7086,7884,6818,8393,9038,8774,7242,7529,7433,8400,8003,7651,7296,7932,7423
"AT1G01060",6946,8697,7634,7283,7420,7216,5496,4936,7206,5438,5505,5767,11844,13650,12584,10324,10645,13128,9450,7605,7344,8177,8648,7675
"AT1G01070",768,773,737,750,726,958,866,835,900,993,804,1156,2119,1546,1790,2000,1691,1581,1582,1604,1999,1392,1038,1590
"AT1G01080",5603,4822,5628,5615,6172,5663,5181,4812,4668,4908,4970,4772,4974,4867,4619,5050,5021,4983,3755,3514,3771,4432,3688,3762
"AT1G01090",8543,9638,8891,8646,8749,8802,9963,9219,9173,8483,9421,7875,10325,11545,10359,8464,9116,10081,10353,8942,8528,8234,9406,8110
"AT1G01100",7844,8665,7315,7493,7831,7268,7220,6773,6043,6795,7267,5490,9398,7166,9678,6845,7307,8141,7512,7775,6448,6350,9060,6128
"AT1G01110",1428,1338,1510,1500,1486,1724,1247,1428,1405,1540,1468,1761,1419,1029,1271,1079,975,1021,1282,1199,1602,1004,748,957
"AT1G01120",5683,5962,6209,5845,5771,6135,7667,7586,7390,6891,7374,6829,6096,6328,6821,5387,5009,5215,5095,4505,5367,3937,3204,4209
"AT1G01130",1934,1327,1267,1493,1734,1930,832,807,1010,1132,799,1095,673,730,1002,659,624,587,551,379,621,536,287,413
"AT1G01140",4966,5389,5190,5508,5206,5419,5542,4906,6402,6023,5938,6141,6879,7188,6951,6462,6355,6539,8082,7752,7510,7248,7181,7013
"AT1G01150",30,0,36,25,26,14,0,0,0,0,0,22,15,0,0,11,27,0,0,0,0,0,0,0
"AT1G01160",4223,4446,4192,4454,4425,4621,4847,4817,4944,4685,4627,4872,5896,6109,5810,5395,5662,7001,7143,6311,6242,6249,6717,6325
"AT1G01170",6783,6827,6425,6604,6666,6613,8596,7786,7911,7167,8519,6908,7936,8500,7765,6598,6940,8019,9034,8244,7809,7340,8553,7160
"AT1G01180",909,813,1113,940,989,1401,1501,1681,1851,1788,1634,2014,2531,2540,3159,2631,2441,2408,3414,3484,3826,3427,2921,3284
"AT1G01190",53,66,53,29,51,56,103,85,125,126,137,128,897,716,887,1079,1104,638,645,594,721,805,748,797
"AT1G01200",1788,1479,1571,1587,1528,1540,971,1248,1124,1072,940,1062,343,275,429,352,329,163,290,300,401,172,90,144
"AT1G01210",2211,2270,1863,2435,2415,2203,1725,1797,1737,1808,1588,1781,2528,2155,2683,2788,2703,2049,3013,2814,3048,3074,3228,3414
"AT1G01220",3119,2991,2879,2966,3127,2756,2034,2175,1860,2098,2172,2025,1589,1514,1631,1913,1793,1509,1365,1511,1601,1557,1364,1676
"AT1G01225",1127,948,1024,1153,1128,1159,1107,908,757,998,717,1107,880,855,835,1012,1102,723,784,770,609,759,569,562
"AT1G01230",4556,4303,4549,4723,4283,4692,4901,4707,4730,4842,4736,4715,4498,4592,4429,4121,4246,3906,4841,4535,4393,4278,4340,4302
"AT1G01240",2796,2631,3371,2682,2758,3280,4077,3417,4315,3885,3870,3237,3673,4086,3958,3265,3502,3866,5047,4783,4628,4313,4147,4467
"AT1G01250",216,166,215,231,199,268,148,155,125,97,154,122,318,347,338,488,465,103,377,225,455,434,267,341
"AT1G01260",2413,2641,2634,2632,2554,2889,2877,2712,2991,2924,2740,2890,2157,1969,2261,1739,1361,1511,2600,2618,2799,2022,1766,1969
"AT1G01270",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"AT1G01280",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"AT1G01290",1930,1966,1841,1947,2009,1921,1691,1717,2039,1946,1929,2033,1884,1464,1837,1980,1824,2208,2203,2085,2062,2166,1754,2021
"AT1G01300",5918,6114,5395,5759,5717,5606,4298,4564,4262,5109,4749,4540,3473,3122,3455,3361,3189,2944,3325,3742,3674,3208,2900,2934
"AT1G01305",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"AT1G01310",7,27,29,21,0,14,0,18,24,15,0,19,20,13,11,22,0,0,0,33,0,7,0,14
"AT1G01320",7809,8594,7528,7499,8007,6663,6418,7266,6478,6463,7352,5947,6509,6819,6670,7082,7170,8068,4008,4878,4926,6508,6487,6157
